,# t (s),mx (),my (),mz (),MaxAngle (rad),phi (degree),f_RF (GHz)
259253,1.296266384740747e-06,-0.4671152,-0.8774735,-0.008403343,0.100739285,240,3000000000.0
259254,1.296270774583487e-06,-0.4625065,-0.8799058000000001,-0.008053895,0.101030454,240,3000000000.0
259255,1.2962751645438188e-06,-0.45812129999999995,-0.8821906999999999,-0.007574521999999999,0.10162794,240,3000000000.0
259256,1.2962810166351417e-06,-0.45274818,-0.8849513000000001,-0.0067495336,0.102871746,240,3000000000.0
259257,1.2962854065296507e-06,-0.4491585,-0.8867726999999999,-0.006005829,0.10411509,240,3000000000.0
259258,1.2962912612801432e-06,-0.44507092,-0.8888259,-0.0048724245,0.10611926,240,3000000000.0
259259,1.296295650775801e-06,-0.44259529999999997,-0.89006054,-0.0039355895,0.10781700000000001,240,3000000000.0
259260,1.2963000397986242e-06,-0.44066876,-0.8910184999999999,-0.0029417437,0.109617725,240,3000000000.0
259261,1.2963058919917384e-06,-0.43900326,-0.8918505999999999,-0.0015563414999999999,0.11207211,240,3000000000.0
259262,1.2963102810418298e-06,-0.43845436,-0.8921336999999999,-0.0004940893,0.11386561,240,3000000000.0
259263,1.2963161318446652e-06,-0.43866646,-0.89205444,0.0009206264500000001,0.11606302,240,3000000000.0
259264,1.296320520783902e-06,-0.43952516,-0.8916556000000001,0.0019592927,0.11747914,240,3000000000.0
259265,1.296326374172529e-06,-0.44156906,-0.89068305,0.0032840446,0.1189478,240,3000000000.0
259266,1.2963307628087583e-06,-0.44373770000000007,-0.88963634,0.0042125520000000005,0.119670905,240,3000000000.0
259267,1.2963351515076954e-06,-0.44640884,-0.88833225,0.005070312,0.120031826,240,3000000000.0
259268,1.2963410030016064e-06,-0.4506701,-0.88622254,0.0060828277000000005,0.11990383,240,3000000000.0
259269,1.296345391346715e-06,-0.45432028,-0.88438845,0.006730145999999999,0.11934294,240,3000000000.0
259270,1.296351241260893e-06,-0.45967704,-0.88165325,0.007427403199999999,0.118009865,240,3000000000.0
259271,1.296355629706399e-06,-0.4639794,-0.87941915,0.007817736,0.11662271,240,3000000000.0
259272,1.296360018389841e-06,-0.46845025,-0.8770625,0.008089272,0.11496564,240,3000000000.0
