phi	mx	my	mz
0.0	0.0031478999999999	0.10215668	0.020189863
5.0	0.01090045	0.10416359	0.020657549
10.0	0.02048238	0.1045867469999999	0.0210474405
15.0	0.0292542499999999	0.1005070799999999	0.0206062809999999
20.0	0.03679142	0.09356513	0.0198051415
25.0	0.0438356	0.0871770499999999	0.019260871
30.0	0.0488463049999999	0.07879689	0.018297948
35.0	0.0523833	0.06997627	0.017188857
40.0	0.05350241	0.0599082499999999	0.0157721995
45.0	0.052979	0.0499266099999999	0.0142912975
50.0	0.0508407999999999	0.0403208749999999	0.01273762
55.0	0.0469581949999999	0.03113098	0.011042483
60.0	0.0422999299999999	0.0231605349999999	0.0094589365
65.0	0.036194745	0.0160248299999999	0.007753602
70.0	0.0301456999999999	0.01045075	0.0062724811
75.0	0.022686355	0.005816025	0.0045872112
80.0	0.0156998349999999	0.0026849549999999	0.0031286672499999
85.0	0.0077553975	0.0007013999999999	0.0015259669
90.0	0.0047674699999999	6.679999999997799e-05	0.0009359361
95.0	0.007754928	0.0008184999999999	0.0015261579
100.0	0.0157004149999999	0.0026850199999999	0.00312868705
105.0	0.0226862699999999	0.0058158249999999	0.0045872285
110.0	0.0301458999999999	0.010450765	0.0062725155
115.0	0.036194715	0.01602488	0.00775360685
120.0	0.04229908	0.0231601	0.00945887
125.0	0.046958265	0.03113093	0.0110425675
130.0	0.050840525	0.0403205799999999	0.012737823
135.0	0.0529804799999999	0.0499278899999999	0.0142966275
140.0	0.0534962399999999	0.05990145	0.0157712905
145.0	0.05238362	0.0699766199999999	0.0171888249999999
150.0	0.04893833	0.078980765	0.0182980125
155.0	0.04391468	0.0873345649999999	0.0192608729999999
160.0	0.0367969699999999	0.0935694	0.019811796
165.0	0.0292542499999999	0.10050543	0.020605837
170.0	0.0204849849999999	0.104581822	0.0210291205
175.0	0.0109011199999999	0.1041714639999999	0.020658819
180.0	0.0031267199999999	0.1017993349999999	0.020130839
185.0	0.011014725	0.1042557405	0.0206590465
190.0	0.020490015	0.1048239649999999	0.0210359715
195.0	0.0292341	0.10051337	0.020605272
200.0	0.03676445	0.0935920349999999	0.0198127935
205.0	0.043897745	0.08731897	0.019261884
210.0	0.0489796499999999	0.0789332249999999	0.0183028199999999
215.0	0.05237537	0.06998458	0.0171903855
220.0	0.0535124499999999	0.059905025	0.0157788405
225.0	0.0529676999999999	0.0499196	0.0142930655
230.0	0.05083665	0.0403082	0.0127374
235.0	0.04694774	0.0311268	0.0110442294999999
240.0	0.0422961699999999	0.0231624249999999	0.0094583575
245.0	0.0361865299999999	0.0160236299999999	0.00775382805
250.0	0.0301579399999999	0.01045185	0.0062749645
255.0	0.0226820749999999	0.0058152499999999	0.0045871224
260.0	0.01569988	0.002684865	0.0031296195
265.0	0.0077567024999999	0.00070133	0.0015260102
270.0	0.0049137095	6.67499999999488e-05	0.0009481788999999
275.0	0.007756257	0.0007232799999999	0.0015258842
280.0	0.0157004649999999	0.002684965	0.00312964835
285.0	0.0226820199999999	0.0058152149999999	0.00458713985
290.0	0.0301578449999999	0.0104518	0.00627495395
295.0	0.03618663	0.0160236	0.00775373165
300.0	0.042295615	0.0231620999999999	0.009458263
305.0	0.046947925	0.031127075	0.01104434925
310.0	0.0508358999999999	0.0403079849999999	0.0127376205
315.0	0.05296947	0.0499219499999999	0.014296419
320.0	0.053506435	0.0598985249999999	0.0157793499999999
325.0	0.0523751749999999	0.06998438	0.0171904285
330.0	0.0489788	0.0789349099999999	0.018302743
335.0	0.043898285	0.0873202199999999	0.019261891
340.0	0.0367645899999999	0.093592345	0.019813213
345.0	0.0292355	0.10051506	0.020605849
350.0	0.020490345	0.1048233	0.021036098
355.0	0.0109051	0.104173986	0.0206597185
360.0	0.0031094	0.1018467899999999	0.0201302705
