,Unnamed: 0,# t (s),mx (),my (),mz (),MaxAngle (rad),phi (degree),f_RF (GHz)
652,60052,3.002605404966035e-07,0.55938345,0.8214325000000001,-0.0013855876000000002,0.0923606,55,3500000000.0
653,60053,3.0026639376182945e-07,0.5582894,0.8221828000000001,-0.0017208598999999998,0.092284955,55,3500000000.0
654,60054,3.0027078288163896e-07,0.5573210999999999,0.82284623,-0.001955766,0.09233281,55,3500000000.0
655,60055,3.002751721766277e-07,0.55623466,0.8235889000000001,-0.0021734172,0.092474274,55,3500000000.0
656,60056,3.002810231608312e-07,0.55461955,0.8246902,-0.0024321305,0.09281125,55,3500000000.0
657,60057,3.0028541155745946e-07,0.5532971999999999,0.8255886999999998,-0.0025994347,0.093172625,55,3500000000.0
658,60058,3.002912625489309e-07,0.55140996,0.82686615,-0.0027826820000000003,0.09380091,55,3500000000.0
659,60059,3.002956523118256e-07,0.5499188,0.82787144,-0.0028878367,0.09437698,55,3500000000.0
660,60060,3.003000418100085e-07,0.5483795,0.8289052,-0.0029635234,0.09503815,55,3500000000.0
661,60061,3.0030589589047605e-07,0.54627895,0.8303096,-0.00301655,0.096041,55,3500000000.0
662,60062,3.003102855210511e-07,0.5446894,0.83136743,-0.0030193233,0.0968728,55,3500000000.0
663,60063,3.0031613743699377e-07,0.5425831999999999,0.8327627000000001,-0.002972985,0.09807324,55,3500000000.0
664,60064,3.003205262327295e-07,0.5410353,0.8337836999999999,-0.002900785,0.09902495,55,3500000000.0
665,60065,3.0032637539392016e-07,0.5390469,0.83508986,-0.0027556373,0.10034081,55,3500000000.0
666,60066,3.0033076396889574e-07,0.5376323000000001,0.83601534,-0.0026112737,0.101346724,55,3500000000.0
667,60067,3.003351530905605e-07,0.53630173,0.8368836,-0.002438008,0.10235503,55,3500000000.0
668,60068,3.003410059137529e-07,0.5346841999999999,0.83793616,-0.0021651154,0.10367715,55,3500000000.0
669,60069,3.0034539434712107e-07,0.53360707,0.8386357,-0.0019319241,0.1046357,55,3500000000.0
670,60070,3.003512463820965e-07,0.5323753000000001,0.8394351000000001,-0.0015876349,0.10584543,55,3500000000.0
671,60071,3.0035563514436953e-07,0.53161883,0.8399264000000001,-0.0013081076,0.106686115,55,3500000000.0
672,60072,3.0036002351760484e-07,0.53101593,0.8403193000000001,-0.0010137458,0.10745581,55,3500000000.0
673,60073,3.0036587356704085e-07,0.53046304,0.8406826,-0.0006039109,0.108363986,55,3500000000.0
674,60074,3.003702614726651e-07,0.53024274,0.8408313000000001,-0.0002878824,0.108947165,55,3500000000.0
675,60075,3.003761149933516e-07,0.5302135,0.84086144,0.00013851222,0.10958339,55,3500000000.0
676,60076,3.003805038652143e-07,0.5303905,0.84075737,0.0004572091,0.109955005,55,3500000000.0
677,60077,3.0038635692720104e-07,0.53088844,0.84045124,0.0008741811000000001,0.110312924,55,3500000000.0
678,60078,3.003907458923204e-07,0.5314526999999999,0.8400992,0.001176366,0.11048009,55,3500000000.0
679,60079,3.003951352245881e-07,0.53217393,0.83964586,0.0014659263,0.1105644,55,3500000000.0
680,60080,3.004009859032195e-07,0.5333649,0.83889204,0.0018268739,0.11055845,55,3500000000.0
681,60081,3.004053745058419e-07,0.5344175999999999,0.83822143,0.0020751455,0.110471986,55,3500000000.0
682,60082,3.0041122779577086e-07,0.53601235,0.8371995000000001,0.002371394,0.11026094,55,3500000000.0
683,60083,3.0041561610314867e-07,0.5373338000000001,0.83634764,0.0025644265,0.110035375,55,3500000000.0
684,60084,3.004200050788316e-07,0.53874755,0.8354314,0.0027304315000000003,0.10975657,55,3500000000.0
685,60085,3.0042585698359573e-07,0.5407494,0.83412594,0.0029069993,0.10930563,55,3500000000.0
686,60086,3.0043024546262244e-07,0.5423175,0.8330969000000001,0.003004295,0.10890659,55,3500000000.0
687,60087,3.0043609560558205e-07,0.5444659000000001,0.8316779000000001,0.0030856798,0.108293414,55,3500000000.0
688,60088,3.0044048388454196e-07,0.54609936,0.83059216,0.0031099676,0.10776825,55,3500000000.0
689,60089,3.0044633692784817e-07,0.54827535,0.8291361999999999,0.0030932992,0.10697345,55,3500000000.0
690,60090,3.0045072590569554e-07,0.5498837,0.82805306,0.0030444881,0.106300876,55,3500000000.0
691,60091,3.004551145686229e-07,0.55145425,0.8269896000000001,0.002965351,0.1055607,55,3500000000.0
692,60092,3.004609672893188e-07,0.55346346,0.82562053,0.0028144463,0.104458645,55,3500000000.0
693,60093,3.004653560188632e-07,0.5548873000000001,0.8246443999999999,0.002669025,0.1035446,55,3500000000.0
694,60094,3.004712065241509e-07,0.55664927,0.8234292999999999,0.0024353056,0.10221202,55,3500000000.0
695,60095,3.004755957007093e-07,0.5578529999999999,0.8225943000000001,0.0022325476000000003,0.10112969,55,3500000000.0
696,60096,3.004814482023843e-07,0.5592794,0.82159907,0.0019297309,0.09959067,55,3500000000.0
697,60097,3.004858373346276e-07,0.56020266,0.820951,0.0016813533,0.098378345,55,3500000000.0
698,60098,3.0049022616794147e-07,0.56099105,0.8203947,0.0014175648,0.09713005,55,3500000000.0
699,60099,3.004960784521696e-07,0.561821,0.81980467,0.0010464309,0.09543555,55,3500000000.0
700,60100,3.0050046701601593e-07,0.5622706000000001,0.81948155,0.0007571763,0.09416485,55,3500000000.0
701,60101,3.005063170746213e-07,0.56263286,0.8192155999999999,0.0003624166000000001,0.09250525,55,3500000000.0
702,60102,3.005107060028527e-07,0.56272435,0.8191418,6.3114145e-05,0.09131616,55,3500000000.0
703,60103,3.005150947677062e-07,0.56266063,0.81917644,-0.00023564657000000005,0.09019419,55,3500000000.0
704,60104,3.0052094745206534e-07,0.5623369,0.8193898000000001,-0.0006282625,0.08883668,55,3500000000.0
705,60105,3.0052533669386035e-07,0.5619185,0.81967217,-0.00091469265,0.087946765,55,3500000000.0
706,60106,3.0053118956626697e-07,0.5611349,0.8202060999999999,-0.001280742,0.08696478,55,3500000000.0
707,60107,3.005355779898797e-07,0.5603859,0.82071793,-0.0015398922,0.08639815,55,3500000000.0
708,60108,3.0054142699285306e-07,0.55918676,0.8215385000000001,-0.0018602129,0.08588827,55,3500000000.0
709,60109,3.0054581576672177e-07,0.5581478,0.8222491,-0.0020787865,0.08570463,55,3500000000.0
710,60110,3.005502046634598e-07,0.5570006,0.8230327,-0.0022763743,0.08569558,55,3500000000.0
711,60111,3.005560563414949e-07,0.55532247,0.82417643,-0.0025039688,0.08595772,55,3500000000.0
712,60112,3.005604452658984e-07,0.55396825,0.8250966999999999,-0.0026457051,0.086363606,55,3500000000.0
713,60113,3.0056629755956305e-07,0.5520602,0.8263893,-0.0027935645000000003,0.08717315,55,3500000000.0
714,60114,3.00570686882808e-07,0.55057055,0.8273948,-0.0028722952,0.08797187,55,3500000000.0
715,60115,3.005750759222036e-07,0.5490469,0.82841986,-0.0029226567,0.08892666,55,3500000000.0
716,60116,3.0058092617174623e-07,0.54698884,0.8297991,-0.002945027,0.09041625,55,3500000000.0
717,60117,3.0058531429681825e-07,0.5454445,0.83083004,-0.0029281534000000003,0.091681466,55,3500000000.0
718,60118,3.0059116624454324e-07,0.54341257,0.8321809000000001,-0.0028612951000000003,0.09353007,55,3500000000.0
719,60119,3.005955542699231e-07,0.5419293000000001,0.8331636,-0.002778708,0.0950124,55,3500000000.0
720,60120,3.006014060441146e-07,0.5400324000000001,0.8344159,-0.0026271073,0.09707718,55,3500000000.0
721,60121,3.0060579471059964e-07,0.53868866,0.8353003000000001,-0.002483966,0.09866316,55,3500000000.0
722,60122,3.006101836242675e-07,0.53742707,0.83612865,-0.002317307,0.1002539,55,3500000000.0
723,60123,3.006160344191998e-07,0.535894,0.8371333000000001,-0.0020617477,0.1023387,55,3500000000.0
724,60124,3.0062042379813696e-07,0.5348696,0.83780384,-0.0018476554,0.10384404,55,3500000000.0
725,60125,3.006262761425837e-07,0.53369,0.83857614,-0.0015367314,0.10572971,55,3500000000.0
726,60126,3.006306652020397e-07,0.5329552,0.83905774,-0.0012876462,0.10702535,55,3500000000.0
727,60127,3.006350538380593e-07,0.5323565,0.8394518,-0.0010278479,0.10819797,55,3500000000.0
728,60128,3.0064090545269964e-07,0.5317781,0.8398358,-0.0006694138,0.10954414,55,3500000000.0
729,60129,3.0064529349935393e-07,0.53151345,0.84001553,-0.00039518098,0.11037679,55,3500000000.0
730,60130,3.006511426267476e-07,0.53138906,0.840109,-2.764078e-05,0.11124028,55,3500000000.0
731,60131,3.0065552990462396e-07,0.5314665,0.8400699,0.0002459865,0.11170537,55,3500000000.0
732,60132,3.0066138065175275e-07,0.53179383,0.83987415,0.0006030729,0.11209343,55,3500000000.0
733,60133,3.00665768456332e-07,0.5322024000000001,0.8396223,0.0008616956,0.11222443,55,3500000000.0
734,60134,3.00670156333422e-07,0.53274524,0.8392837,0.0011097661,0.112238266,55,3500000000.0
735,60135,3.00676009522558e-07,0.5336665,0.83870375,0.0014203665,0.11210248,55,3500000000.0
736,60136,3.006803986366653e-07,0.5344949000000001,0.8381784,0.0016353823,0.111908376,55,3500000000.0
737,60137,3.00686249793291e-07,0.5357653,0.8373676999999999,0.0018947081,0.1115668,55,3500000000.0
738,60138,3.0069063971284733e-07,0.53682977,0.8366843,0.0020667363,0.1112682,55,3500000000.0
739,60139,3.0069502912564697e-07,0.53797734,0.83594394,0.0022179473,0.110948354,55,3500000000.0
740,60140,3.007008826824312e-07,0.53961694,0.8348796999999999,0.0023853972,0.11049794,55,3500000000.0
741,60141,3.0070527262307177e-07,0.5409126999999999,0.8340339,0.0024842748,0.11014767,55,3500000000.0
742,60142,3.0071112655343106e-07,0.54270494,0.8328571,0.0025794832,0.10965477,55,3500000000.0
743,60143,3.007155154900005e-07,0.5440803000000001,0.8319484,0.0026230316,0.109252624,55,3500000000.0
744,60144,3.007213659657118e-07,0.54593194,0.83071774,0.002643946,0.10864689,55,3500000000.0
745,60145,3.0072575548666524e-07,0.54731846,0.8297908000000002,0.0026320545,0.10811956,55,3500000000.0
746,60146,3.0073014509556434e-07,0.54868907,0.8288694999999999,0.0025969904,0.10750914,55,3500000000.0
747,60147,3.007359973783423e-07,0.550471,0.8276645,0.0025153095,0.10653824,55,3500000000.0
748,60148,3.0074038667277503e-07,0.55175877,0.8267885,0.0024289147,0.10567378,55,3500000000.0
749,60149,3.007462402405905e-07,0.55339056,0.8256719000000001,0.002282079,0.10431735,55,3500000000.0
750,60150,3.007506293924932e-07,0.55453706,0.8248825999999999,0.0021497745000000003,0.10314362,55,3500000000.0
751,60151,3.007550184729344e-07,0.55560726,0.8241421,0.0019998793,0.10183688,55,3500000000.0
752,60152,3.0076086881004553e-07,0.5569006,0.823242,0.0017751787,0.09990431,55,3500000000.0
753,60153,3.0076525804977887e-07,0.5577614000000001,0.8226392,0.0015898851,0.09833222,55,3500000000.0
754,60154,3.0077111078751704e-07,0.5587504,0.8219421999999998,0.0013235939000000002,0.09611245,55,3500000000.0
755,60155,3.007754997585666e-07,0.55936587,0.82150495,0.0011116902,0.094391525,55,3500000000.0
756,60156,3.0078135385425005e-07,0.56000996,0.82104313,0.0008161082,0.0920797,55,3500000000.0
757,60157,3.007857430071623e-07,0.5603557,0.8207914000000001,0.0005871404,0.090376645,55,3500000000.0
