# t (s)	mx ()	my ()	mz ()	MaxAngle (rad)	phi (degree)	f_RF (GHz)
3.101604053831894e-10	0.9766403	0.020943137	-0.008285041	0.023826487	0	4e+09
3.1503176028535744e-10	0.97568494	0.026382323	-0.008013592	0.024043163	0	4e+09
3.200711052281639e-10	0.9747881	0.031748187	-0.0075862417	0.02434376	0	4e+09
3.251104188530139e-10	0.97400975	0.03675244	-0.0070152697	0.02462859	0	4e+09
3.3014987061149284e-10	0.97337323	0.04130323	-0.006309175	0.024838272	0	4e+09
3.350214309350851e-10	0.97291005	0.0451912	-0.0055088806	0.02552711	0	4e+09
3.4006106664233004e-10	0.9726016	0.048609693	-0.0045727794	0.026138617	0	4e+09
3.451010396284268e-10	0.9724736	0.051347863	-0.0035426137	0.026275096	0	4e+09
3.5014101030675e-10	0.97252643	0.053348657	-0.0024365229	0.026953764	0	4e+09
3.550128833537879e-10	0.97274286	0.05453929	-0.0013135225	0.0273337	0	4e+09
3.600527881362744e-10	0.97312534	0.05496999	-0.0001161615	0.0273555	0	4e+09
3.650931897849993e-10	0.97364956	0.054566655	0.0010965466	0.027061917	0	4e+09
3.7013352360905354e-10	0.9742909	0.05332337	0.0023029866	0.026619952	0	4e+09
3.750061533116999e-10	0.97499526	0.05133093	0.0034432958	0.026213769	0	4e+09
3.8004667886499626e-10	0.97578037	0.048474327	0.004575786	0.025916455	0	4e+09
3.850872416944468e-10	0.9765905	0.044845667	0.00564065	0.025734104	0	4e+09
3.90127932642831e-10	0.97739273	0.040496346	0.0066190916	0.025562115	0	4e+09
3.950006913305122e-10	0.9781314	0.035668142	0.0074663614	0.025273649	0	4e+09
4.000415632407703e-10	0.9788299	0.030103693	0.008225478	0.024768576	0	4e+09
4.0508249187755936e-10	0.97943753	0.02404827	0.008851349	0.02406299	0	4e+09
4.10123302186842e-10	0.97993475	0.01760173	0.00933193	0.023620445	0	4e+09
4.1516414368063193e-10	0.9803081	0.010872148	0.009657467	0.023473615	0	4e+09
4.200371708127758e-10	0.9805437	0.0042056474	0.009817856	0.023272134	0	4e+09
4.2507835759376813e-10	0.98065543	-0.0027411038	0.009819483	0.02335906	0	4e+09
4.3011969765107053e-10	0.9806362	-0.009618403	0.009651968	0.023617921	0	4e+09
4.3516122530205493e-10	0.98049396	-0.016304007	0.009316004	0.023876471	0	4e+09
4.4003472592377327e-10	0.9802504	-0.022471301	0.008834448	0.024124842	0	4e+09
4.4507617064620345e-10	0.9799037	-0.028432671	0.008180281	0.024611643	0	4e+09
4.5011768738979186e-10	0.97947735	-0.033860184	0.007376444	0.025219344	0	4e+09
4.5515945164428734e-10	0.97898996	-0.038652685	0.00643464	0.02567845	0	4e+09
4.600333579941028e-10	0.97847795	-0.042595956	0.005406453	0.025967011	0	4e+09
4.65075517979575e-10	0.97792387	-0.045884512	0.0042370562	0.02608611	0	4e+09
4.701178540914692e-10	0.97736067	-0.048303183	0.002978542	0.026028918	0	4e+09
4.751602594676556e-10	0.9768018	-0.049799718	0.0016514248	0.025865804	0	4e+09
4.800343666904427e-10	0.9762757	-0.050335206	0.00032415258	0.026225137	0	4e+09
4.850745683981339e-10	0.97575253	-0.04992695	-0.001071659	0.026644574	0	4e+09
4.901103537404803e-10	0.97525424	-0.048538454	-0.0024660788	0.026718304	0	4e+09
4.951457962481136e-10	0.97478044	-0.04618313	-0.0038357098	0.026503248	0	4e+09
5.000138203145223e-10	0.974343	-0.043015327	-0.0051132883	0.026031211	0	4e+09
5.050502554979975e-10	0.97390866	-0.03886188	-0.0063635693	0.02529958	0	4e+09
5.100868447167998e-10	0.9734881	-0.033879664	-0.0075183683	0.024560727	0	4e+09
5.151224129478818e-10	0.9730777	-0.028148182	-0.008555823	0.024235778	0	4e+09
5.201565613981544e-10	0.97267485	-0.021760354	-0.009456246	0.023574974	0	4e+09
5.250226409829563e-10	0.9722912	-0.015058313	-0.010180313	0.023516746	0	4e+09
5.300571659312062e-10	0.97190046	-0.007689727	-0.010763762	0.023781411	0	4e+09
5.350922903991122e-10	0.97151834	4.5568106e-07	-0.011167124	0.02399104	0	4e+09
5.40128152370522e-10	0.9711482	0.007883791	-0.011381808	0.02419393	0	4e+09
5.451648350750952e-10	0.9707953	0.015827825	-0.011402608	0.024402458	0	4e+09
5.500345386034109e-10	0.9704765	0.023438817	-0.011236797	0.024560727	0	4e+09
5.550727298127995e-10	0.97017765	0.031111263	-0.010874704	0.02467212	0	4e+09
5.601116584787798e-10	0.96991926	0.038450453	-0.010324039	0.025074743	0	4e+09
5.651513498361303e-10	0.96971196	0.04533097	-0.00959345	0.025473345	0	4e+09
5.700233909213202e-10	0.96957076	0.051434442	-0.008727415	0.02584044	0	4e+09
5.750606226687682e-10	0.969497	0.057072412	-0.007681397	0.02646048	0	4e+09
5.80094628772752e-10	0.96950704	0.061926972	-0.0065004616	0.028093014	0	4e+09
5.851282962166786e-10	0.96960896	0.06591639	-0.005204036	0.029285712	0	4e+09
5.901622438163456e-10	0.9698078	0.06896964	-0.0038139275	0.02996584	0	4e+09
5.950287449837095e-10	0.9700926	0.07097791	-0.0024031957	0.030116653	0	4e+09
6.00063132181629e-10	0.9704789	0.07203986	-0.00089861563	0.030043326	0	4e+09
6.050963384799211e-10	0.97094804	0.072045214	0.0006264979	0.030398393	0	4e+09
6.101261449615937e-10	0.97148496	0.07098838	0.002145942	0.03035129	0	4e+09
6.151546325840236e-10	0.97207034	0.068880886	0.0036350926	0.02995589	0	4e+09
6.200157389731481e-10	0.9726609	0.06587072	0.0050230846	0.029293852	0	4e+09
6.250448915644138e-10	0.973273	0.061793625	0.0063826214	0.028396932	0	4e+09
6.300745494030826e-10	0.9738611	0.056797616	0.007642334	0.027351141	0	4e+09
6.351047324216459e-10	0.9744003	0.050959833	0.008781259	0.026304573	0	4e+09
6.401354748379238e-10	0.9748674	0.044372376	0.009780243	0.02565755	0	4e+09
6.451667705168449e-10	0.9752427	0.037141103	0.010622188	0.025034295	0	4e+09
6.50030803828666e-10	0.9755037	0.029649705	0.011272886	0.024568008	0	4e+09
6.550630687187128e-10	0.9756576	0.021505814	0.011765332	0.024208706	0	4e+09
6.600958242930188e-10	0.9756886	0.013095416	0.012064706	0.023928842	0	4e+09
6.651291013502655e-10	0.97559655	0.004559882	0.012164606	0.023966182	0	4e+09
6.701628802892035e-10	0.975388	-0.003956157	0.012061868	0.024008429	0	4e+09
6.750293224641679e-10	0.97508615	-0.012033315	0.011770104	0.024010912	0	4e+09
6.80064081504054e-10	0.97468615	-0.020089542	0.011272695	0.023951253	0	4e+09
6.850992321291507e-10	0.9742167	-0.027704109	0.010583351	0.023858989	0	4e+09
6.901349048287554e-10	0.973701	-0.034745853	0.009712445	0.024272643	0	4e+09
6.950030900138983e-10	0.9731812	-0.04089358	0.008710793	0.024691442	0	4e+09
7.00039607753577e-10	0.97264594	-0.04646403	0.0075254487	0.025119873	0	4e+09
7.050762184599678e-10	0.9721362	-0.05113567	0.006207635	0.025529444	0	4e+09
7.101093684086682e-10	0.9716744	-0.05482459	0.004780139	0.025921058	0	4e+09
7.151411454749391e-10	0.97127765	-0.05746889	0.0032662447	0.02626602	0	4e+09
7.200053593046382e-10	0.9709694	-0.058988642	0.0017440598	0.026536966	0	4e+09
7.250373904666016e-10	0.9707366	-0.059460133	0.00013435696	0.026742835	0	4e+09
7.30069698974948e-10	0.9705955	-0.058801726	-0.0014841665	0.026869591	0	4e+09
7.35102434917448e-10	0.9705447	-0.057021324	-0.003084145	0.026916139	0	4e+09
7.401353525042302e-10	0.9705779	-0.05414575	-0.004638306	0.026885116	0	4e+09
7.450007141175189e-10	0.9706791	-0.05036726	-0.006072205	0.026780702	0	4e+09
7.500342084445149e-10	0.9708413	-0.045485824	-0.007460102	0.026606511	0	4e+09
7.550678817419628e-10	0.97104406	-0.039693452	-0.008727349	0.026383772	0	4e+09
7.6010183043423e-10	0.9712678	-0.03308415	-0.009852163	0.026134055	0	4e+09
7.651360959361636e-10	0.97149265	-0.025765827	-0.010815117	0.025845055	0	4e+09
7.700028636458078e-10	0.97169214	-0.018130198	-0.011576386	0.02593715	0	4e+09
7.750376590363036e-10	0.97186345	-0.0097773	-0.012175093	0.0260335	0	4e+09
7.800728242467644e-10	0.9719847	-0.0010989115	-0.012571412	0.026017467	0	4e+09
7.851082412322581e-10	0.9720455	0.0077611175	-0.012758248	0.0260083	0	4e+09
7.901439981553674e-10	0.97204024	0.016655963	-0.012732077	0.026056388	0	4e+09
7.950121916072438e-10	0.971972	0.0251484	-0.012504388	0.026065536	0	4e+09
8.000485401262583e-10	0.9718408	0.03368189	-0.012063052	0.026040368	0	4e+09
8.050850644606365e-10	0.9716576	0.04181858	-0.011419578	0.02598078	0	4e+09
8.101218390025146e-10	0.9714368	0.049422864	-0.010584574	0.0260083	0	4e+09
8.151587201762322e-10	0.9711961	0.05636758	-0.009571902	0.02636343	0	4e+09
8.200279635429475e-10	0.97096336	0.062344808	-0.008439845	0.026590826	0	4e+09
8.250651009324581e-10	0.97074264	0.06766568	-0.007129294	0.026700448	0	4e+09
8.30102557142146e-10	0.97056293	0.0720214	-0.005698324	0.026684815	0	4e+09
8.351399295968856e-10	0.9704425	0.075337864	-0.004170715	0.026550442	0	4e+09
8.400096078880283e-10	0.9703969	0.07750246	-0.0026257678	0.026311371	0	4e+09
8.450450024985197e-10	0.9704333	0.078625716	-0.0009833359	0.02597619	0	4e+09
8.500762099125825e-10	0.97055995	0.07859485	0.00067666004	0.02556678	0	4e+09
8.551065396207957e-10	0.9707763	0.07740886	0.002328046	0.02512699	0	4e+09
8.601366588802358e-10	0.97107595	0.07508397	0.0039439388	0.02508425	0	4e+09
8.651669744733775e-10	0.9714467	0.07165455	0.005497904	0.025041439	0	4e+09
8.700295581767181e-10	0.9718563	0.067339174	0.0069170315	0.025005706	0	4e+09
8.750597575579929e-10	0.97231203	0.06190845	0.008275571	0.024962759	0	4e+09
8.800899464098374e-10	0.97277635	0.055580426	0.009500423	0.024917345	0	4e+09
8.851204023379045e-10	0.97322327	0.048456706	0.010571164	0.024859864	0	4e+09
8.901509342718627e-10	0.97362727	0.04065349	0.011469727	0.024785418	0	4e+09
8.950138376769125e-10	0.9739546	0.03258488	0.012160323	0.02470351	0	4e+09
9.000445874729165e-10	0.97420764	0.02382851	0.012678706	0.024691442	0	4e+09
9.050753460767128e-10	0.9743576	0.014800063	0.012988851	0.0248982	0	4e+09
9.101062003073161e-10	0.9743947	0.005650279	0.013085223	0.025100881	0	4e+09
9.151371068057726e-10	0.97431475	-0.003467398	0.012965813	0.02529958	0	4e+09
9.200003749003477e-10	0.97412914	-0.012106781	0.01264673	0.025473345	0	4e+09
9.250315181153819e-10	0.97383434	-0.020718046	0.012110885	0.02565058	0	4e+09
9.3005941969528e-10	0.9734514	-0.028849771	0.01137477	0.025812743	0	4e+09
9.350845685978227e-10	0.97300106	-0.03636809	0.010450459	0.02595553	0	4e+09
9.401092439526944e-10	0.972509	-0.04315229	0.009352638	0.02607697	0	4e+09
9.45133966513695e-10	0.97200286	-0.04909129	0.008099035	0.026177358	0	4e+09
9.501587491267055e-10	0.97151136	-0.05408777	0.0067101023	0.02625013	0	4e+09
9.55016182075057e-10	0.9710761	-0.057945326	0.005260198	0.02629324	0	4e+09
