f_RF	185deg	190deg	195deg	200deg	205deg	210deg	215deg	220deg	225deg	230deg	235deg	240deg	245deg	250deg	255deg	260deg	265deg	270deg	275deg	280deg	285deg	290deg	295deg	300deg	305deg	310deg	315deg	320deg	325deg	330deg	335deg	340deg	345deg	350deg	355deg	360deg
3000000000.0	0.00032209999999999184	0.0010005000000000153	0.0011392499999999806	0.0013824350000000152	0.0016470300000000493	0.001895800000000003	0.002116920000000022	0.0023240999999999956	0.002508699999999975	0.0026633699999999982	0.00279368499999999	0.00289724999999999	0.002989484999999986	0.0030746100000000054	0.0031487350000000136	0.003220945000000003	0.003322980000000003	0.004027584999999999	0.0033119849999999965	0.0032190099999999944	0.003153640000000013	0.003075279999999986	0.0029908150000000078	0.002893960000000001	0.002787850000000036	0.0026581499999999703	0.002504580000000034	0.002320500000000003	0.002115014999999998	0.0018926499999999957	0.001644050000000008	0.0013818150000000085	0.0011403349999999923	0.0008551749999999858	0.0003211300000000028	4.672500000002522e-05
3100000000.0	0.0003427549999999724	0.0009303700000000137	0.0011967500000000242	0.001501669999999955	0.0017781550000000035	0.0020467849999999954	0.002257549999999997	0.002460600000000035	0.0026767500000000055	0.0028488150000000045	0.0029747799999999547	0.0030808149999999868	0.003182039999999997	0.003289399999999998	0.003367250000000016	0.003474825000000001	0.0034607820000000025	0.003326669	0.0034823529999999936	0.003445904999999999	0.0034069850000000013	0.0032744400000000173	0.0031812950000000007	0.003110959999999996	0.0029853999999999714	0.0028300800000000126	0.002647799999999978	0.002460479999999987	0.0022638200000000275	0.0020370499999999847	0.0017855449999999995	0.0014949650000000148	0.0011974200000000046	0.0009370250000000357	0.0003438500000000344	3.864999999997343e-05
3200000000.0	0.0003676149999999878	0.0010097749999999905	0.001263650000000005	0.0016416799999999787	0.0019250199999999995	0.0022183999999999537	0.0024703000000000364	0.002678199999999964	0.0028983050000000454	0.0030409100000000078	0.003225950000000033	0.003347700000000009	0.0034402350000000137	0.0035755500000000107	0.003663584999999997	0.0037509550000000003	0.003678527000000001	0.00357180715	0.003688074999999999	0.0037414249999999927	0.0036790999999999907	0.0035846849999999764	0.0034401149999999936	0.0033391399999999904	0.003198895000000035	0.003069820000000001	0.002900299999999967	0.0026781700000000352	0.0024591099999999866	0.0022051350000000247	0.0019363499999999756	0.001638219999999968	0.001263750000000008	0.0010118450000000112	0.000366569999999955	3.100000000000325e-05
3300000000.0	0.0004006299999999574	0.0010574500000000153	0.0013632499999999825	0.001799519999999999	0.0021076500000000165	0.002404750000000011	0.0026664750000000015	0.0029212650000000062	0.003127700000000011	0.0033265499999999837	0.003482099999999988	0.003601175000000012	0.003748149999999978	0.0038738100000000053	0.004012164999999984	0.0040536450000000085	0.0038191670000000053	0.0038113492000000004	0.003816042999999998	0.0040639050000000065	0.004001119999999997	0.0038748999999999867	0.0037444550000000076	0.003603204999999998	0.0034810200000000013	0.0033135400000000037	0.0031279000000000168	0.0029236249999999853	0.0026675800000000027	0.002407400000000004	0.002103624999999998	0.0018002850000000126	0.001362849999999971	0.0010568200000000139	0.0003966000000000247	2.826999999999691e-05
3400000000.0	0.0004397250000000019	0.0010968199999999984	0.001496134999999954	0.002005699999999999	0.0023224500000000314	0.002644829999999987	0.0029279299999999675	0.0031878300000000026	0.003406124999999982	0.0036179350000000166	0.003807990000000039	0.003951189999999993	0.004092950000000012	0.0042269699999999966	0.004316104999999987	0.004342294999999996	0.004032102999999995	0.0041208497	0.004028000000000004	0.004324530000000007	0.004330699999999993	0.004249700000000023	0.004093079999999999	0.003933295000000003	0.003791349999999971	0.0036304249999999927	0.003423149999999986	0.0031884899999999883	0.002923045000000013	0.002629185000000034	0.002340880000000045	0.002000624999999978	0.0014962300000000428	0.00108908000000002	0.00043608499999997496	2.6550000000014062e-05
3500000000.0	0.0004804150000000118	0.0011402249999999947	0.0017076400000000103	0.0022389850000000266	0.0026381050000000017	0.0029557500000000347	0.00326535	0.0035376500000000033	0.0037873399999999724	0.004007760000000027	0.004176479999999982	0.004342125000000002	0.00449078	0.00462709	0.004654199999999997	0.004591894999999999	0.004375524999999998	0.0044814901999999995	0.004370260000000001	0.004610404999999998	0.004648820000000026	0.004635675000000006	0.004491500000000009	0.004334494999999994	0.004184605000000008	0.004002099999999953	0.0037928799999999985	0.0035374499999999975	0.003258380000000005	0.0029626000000000374	0.0026354250000000246	0.0022430499999999687	0.001707124999999976	0.0011412199999999983	0.00048389999999998157	2.6199999999976242e-05
3600000000.0	0.0005255999999999594	0.0011988199999999893	0.0019676399999999927	0.002472265000000029	0.002985950000000015	0.0033692399999999956	0.0036752499999999633	0.003979125000000028	0.004370825000000023	0.0045789700000000155	0.004708600000000007	0.004833355000000011	0.0049580349999999995	0.005094269999999984	0.00498962	0.004860955	0.004768338000000004	0.0048943948	0.004865895000000002	0.004911805000000005	0.004944114999999999	0.004989064999999987	0.004959230000000009	0.004966765000000012	0.004768019999999984	0.004535380000000033	0.004272300000000007	0.003978639999999978	0.0037265850000000045	0.0033792749999999594	0.002988935000000026	0.002463575000000051	0.0019667499999999616	0.001204364999999985	0.0005257349999999716	2.705000000002844e-05
3700000000.0	0.0005964500000000261	0.0012849499999999514	0.002235664999999998	0.0027104850000000402	0.003298430000000019	0.003759829999999964	0.004148084999999968	0.004481909999999978	0.004832769999999986	0.005062850000000008	0.005318500000000004	0.005528284999999994	0.005574039999999975	0.0056263099999999955	0.005465424999999996	0.005404514999999999	0.005502033000000003	0.005573762065	0.005548619999999997	0.005417340000000007	0.0054571300000000045	0.0055906500000000026	0.0055727949999999915	0.005527050000000006	0.0052925949999999555	0.0050941299999999745	0.004828599999999961	0.004481769999999996	0.00413825000000001	0.00374260500000001	0.003308550000000021	0.002704535000000008	0.002234579999999986	0.001286469999999984	0.0005945800000000112	3.0000000000030003e-05
3800000000.0	0.000718699999999961	0.0014241050000000088	0.0025298750000000148	0.0029935200000000273	0.0036887299999999734	0.0042179999999999995	0.004641699999999971	0.00504578	0.005339330000000031	0.005587800000000032	0.005817170000000038	0.006000045000000009	0.006103794999999995	0.006034620000000018	0.006033154999999998	0.0060653549999999945	0.006134804000000001	0.0062966363	0.006131194500000006	0.006048385000000003	0.006043875000000004	0.006034404999999993	0.006101920000000011	0.006000515000000012	0.005822084999999977	0.005585549999999995	0.005337149999999957	0.0050444000000000044	0.004642599999999997	0.004219250000000008	0.0036876250000000277	0.0029938700000000096	0.0025312149999999756	0.0014243299999999737	0.0007181749999999876	3.598499999996063e-05
3900000000.0	0.0009067100000000328	0.0016436200000000123	0.002828849999999994	0.003417115000000026	0.004125779999999968	0.0047773500000000135	0.005279480000000003	0.00568894999999997	0.005961300000000003	0.006154150000000025	0.006404820000000033	0.0066138199999999925	0.006660510000000008	0.006618485000000007	0.006667519999999982	0.006761719999999999	0.006881172999999997	0.006979776050000001	0.006849954999999998	0.006731040000000008	0.0066949699999999945	0.00664708	0.006657689999999994	0.006585444999999995	0.006389499999999992	0.006164299999999956	0.005970625000000007	0.005689070000000018	0.0052723000000000075	0.0047728249999999806	0.004129674999999999	0.003423750000000003	0.002828849999999994	0.0016406250000000067	0.0009064500000000031	4.461000000000048e-05
