f_RF	0deg	5deg	10deg	15deg	20deg	25deg	30deg	35deg	40deg	45deg	50deg	55deg	60deg	65deg	70deg	75deg	80deg	85deg	90deg	95deg	100deg	105deg	110deg	115deg	120deg	125deg	130deg	135deg	140deg	145deg	150deg	155deg	160deg	165deg	170deg	175deg	180deg
3000000000.0	0.00367016715	0.003780844999999998	0.004486939999999995	0.003619375000000008	0.0033758349999999937	0.0032003499999999907	0.003007684999999982	0.002795325000000015	0.002576664999999978	0.002350870000000005	0.002099950000000017	0.0018455499999999736	0.0015850749999999914	0.001327500000000037	0.0010730999999999935	0.0008129299999999895	0.0005516449999999895	0.0002942250000000368	3.230000000004063e-05	0.0002926749999999645	0.0005517999999999912	0.0008126250000000113	0.0010712999999999973	0.001327250000000002	0.0015872800000000242	0.0018451999999999913	0.0021017000000000396	0.002349834999999967	0.002575999999999967	0.002796400000000032	0.003009779999999962	0.0031992200000000026	0.003375359999999994	0.003621904999999981	0.003739560000000003	0.003782354999999994	0.0046863780000000015
3100000000.0	0.00399165565	0.004073315000000001	0.004024739999999999	0.003844125000000004	0.0036667000000000227	0.003474129999999992	0.003226775000000015	0.002981669999999992	0.00275162000000001	0.002514539999999954	0.0022358199999999995	0.0019567799999999913	0.001689099999999999	0.0014232800000000267	0.0011412800000000223	0.0008774100000000229	0.0005932499999999896	0.0003054150000000311	1.0175000000001155e-05	0.0003070500000000309	0.0006012200000000134	0.0008708350000000142	0.0011400999999999772	0.0014226800000000095	0.0016940999999999762	0.0019696499999999895	0.00221905	0.002479750000000003	0.002753149999999982	0.003010775000000021	0.0032552700000000323	0.003449029999999992	0.003655959999999986	0.0038418500000000078	0.004052754999999991	0.004086533000000003	0.0044950664999999996
3200000000.0	0.0043732568	0.004475745000000003	0.004363030000000004	0.0040669750000000005	0.003994385000000017	0.0037693349999999848	0.0035277850000000055	0.0032448299999999763	0.002995324999999993	0.0026959500000000025	0.0024255499999999985	0.00212467999999999	0.0018234000000000306	0.0015325000000000477	0.0012396350000000167	0.0009521699999999744	0.0006533750000000116	0.0003169450000000129	9.350000000019065e-06	0.00031717500000000287	0.000648150000000014	0.0009593500000000255	0.001239900000000016	0.0015305800000000036	0.0018245500000000359	0.002135665000000009	0.0024223849999999714	0.0026965999999999934	0.0029950000000000254	0.0032449350000000043	0.0035284850000000256	0.003755315000000009	0.003994095000000003	0.00406757499999999	0.004363695000000001	0.004464585	0.0047301405
3300000000.0	0.0048012474	0.004889000500000004	0.004714514999999989	0.0043480850000000015	0.004411125000000016	0.004092924999999997	0.0038154249999999834	0.0035510649999999644	0.003239800000000015	0.0029439149999999636	0.002618934999999989	0.0022936150000000266	0.0019894500000000037	0.0016601150000000175	0.0013622000000000356	0.0010384300000000346	0.0006971800000000195	0.0003290499999999974	9.274999999975275e-06	0.00032858500000004787	0.0006981500000000085	0.0010353049999999864	0.0013581500000000024	0.001660050000000024	0.001979120000000001	0.0023053900000000183	0.002617450000000021	0.0029420749999999884	0.003239724999999971	0.0035346499999999725	0.0038285750000000007	0.004088459999999988	0.004417465000000009	0.004347999999999991	0.004714029999999994	0.004902034999999999	0.0050418089999999995
3400000000.0	0.0053590706500000005	0.005426130000000001	0.0050356049999999986	0.004799539999999991	0.004889619999999983	0.004555035000000013	0.004200099999999984	0.003881469999999998	0.003540669999999968	0.0031978699999999916	0.002871699999999977	0.002516805000000011	0.0021592500000000014	0.0018126500000000267	0.00148191999999997	0.0011243999999999699	0.0007438150000000365	0.0003379250000000167	9.580000000009026e-06	0.0003369200000000183	0.0007457650000000093	0.0011240200000000033	0.0014910100000000148	0.0018130700000000277	0.0021566450000000126	0.002522950000000024	0.002867165000000005	0.0032112699999999883	0.003539559999999997	0.0038712499999999928	0.004210679999999967	0.004504174999999999	0.00487979999999999	0.004796745000000019	0.005041114999999999	0.005513617999999998	0.0055617055
3500000000.0	0.0059783256	0.006297810000000001	0.005533595000000002	0.005480840000000015	0.005475150000000012	0.005120200000000019	0.004720050000000031	0.004315299999999966	0.003936900000000021	0.003562600000000027	0.0031706000000000234	0.0027765800000000285	0.0023804000000000047	0.00200381500000002	0.0016265699999999939	0.0012005350000000026	0.0007819299999999862	0.00035952000000000206	1.0160000000036806e-05	0.0003605999999999887	0.0007807499999999967	0.0012028649999999974	0.0016207000000000304	0.002003699999999997	0.002383725000000003	0.0027713500000000058	0.003174834999999987	0.0035565499999999917	0.003936015000000015	0.0043250750000000115	0.004708600000000007	0.0051360550000000005	0.00546816	0.0054789499999999824	0.005542814999999993	0.006291123000000003	0.006223735649999999
3600000000.0	0.0067498027	0.007056757499999997	0.006023539999999994	0.006290034999999999	0.006074204999999999	0.005825825000000007	0.005328249999999979	0.004867269999999979	0.004525019999999991	0.004085099999999953	0.003595730000000019	0.003105104999999997	0.0026548849999999957	0.002261105000000041	0.0017622700000000102	0.0012626950000000359	0.0008111500000000382	0.00039319999999998245	1.1030000000022966e-05	0.0003955050000000182	0.000814109999999979	0.0012583999999999929	0.0017435499999999826	0.0022600000000000398	0.0026933699999999727	0.0031275199999999947	0.003565150000000017	0.004008200000000017	0.004524664999999983	0.004932900000000018	0.005373149999999993	0.005774200000000007	0.006033430000000006	0.006290910000000011	0.006063890000000002	0.007094823	0.006923602800000001
3700000000.0	0.00766292415	0.007890880500000003	0.006596289999999991	0.007091029999999998	0.006604855000000021	0.006449874999999994	0.00599628499999999	0.005475530000000006	0.005030365000000037	0.004521694999999992	0.004039300000000023	0.00354126499999996	0.00301079999999998	0.002511799999999953	0.0019160999999999762	0.001381100000000024	0.0009079499999999907	0.00044564999999996413	1.3349999999967554e-05	0.00044551999999997705	0.0008947499999999997	0.0013976800000000122	0.0019156900000000254	0.0025153500000000273	0.003011549999999974	0.0035325749999999823	0.004042595000000038	0.004518949999999966	0.005026640000000027	0.0054749499999999784	0.00599719999999998	0.006458934999999999	0.006604434999999992	0.007087635000000009	0.006596944999999993	0.007884139999999998	0.007785927850000001
3800000000.0	0.0088412225	0.008701390000000003	0.0074305000000000065	0.007948989999999989	0.007349699999999987	0.007185739999999996	0.0067178649999999895	0.0061834000000000056	0.005608924999999987	0.005038749999999981	0.0044236649999999655	0.003845749999999981	0.0033113700000000357	0.0026946999999999943	0.0020857499999999973	0.001524150000000002	0.000995434999999989	0.0005106349999999815	1.502000000003223e-05	0.0005083349999999709	0.001005374999999975	0.0015128150000000007	0.0020880000000000343	0.0026950250000000175	0.0033045000000000435	0.0038566700000000065	0.0044122500000000064	0.0050529500000000005	0.005608669999999982	0.006177500000000002	0.006731899999999957	0.007176365000000018	0.007355429999999996	0.007949299999999992	0.00741855000000001	0.008709288000000003	0.0089336393925
3900000000.0	0.010362578	0.009571320000000001	0.008547289999999999	0.008971289999999993	0.008358979999999988	0.008052260000000006	0.007627450000000036	0.007018279999999988	0.006336750000000002	0.005606579999999972	0.004871695000000009	0.004233884999999993	0.003610374999999999	0.0029239950000000126	0.002262299999999995	0.0016818650000000046	0.001121250000000018	0.0005689999999999862	1.7529999999987833e-05	0.0005670199999999737	0.0011188000000000309	0.0016851749999999832	0.0022698999999999914	0.002924830000000045	0.003599550000000007	0.0042345250000000445	0.004872350000000025	0.005615234999999996	0.00633707	0.007005199999999989	0.0076238250000000285	0.008053779999999983	0.008367685000000014	0.008971929999999989	0.008536789999999989	0.009573714999999997	0.0103986571
4000000000.0	0.012196807	0.010775790000000007	0.010159580000000001	0.010090660000000001	0.009818385000000013	0.009175595000000009	0.00868515000000003	0.008013500000000007	0.007205974999999976	0.006289749999999983	0.00542957500000002	0.004700570000000015	0.003982305000000019	0.0032457749999999508	0.00255751500000001	0.0019101850000000087	0.0012750950000000039	0.0006390000000000007	2.152499999996671e-05	0.000640699999999994	0.001270130000000036	0.0019147399999999704	0.002553969999999961	0.0032459200000000132	0.003985899999999987	0.004693699999999967	0.005434604999999981	0.006285184999999971	0.0072053400000000045	0.00801750000000001	0.008682625	0.009173009999999981	0.009812765000000001	0.010091080000000002	0.010159299999999996	0.010780623000000003	0.01221860775
