f_RF	0deg	5deg	10deg	15deg	20deg	25deg	30deg	35deg	40deg	45deg	50deg	55deg	60deg	65deg	70deg	75deg	80deg	85deg	90deg	95deg	100deg	105deg	110deg	115deg	120deg	125deg	130deg	135deg	140deg	145deg	150deg	155deg	160deg	165deg	170deg	175deg	180deg
3000000000.0	3.6999999999953737e-06	0.00032191500000000595	0.0010082449999999632	0.0011391499999999777	0.0013822499999999738	0.001646579999999953	0.0018932249999999984	0.002115575000000036	0.0023205749999999914	0.0025082499999999897	0.00265795000000002	0.00278837000000004	0.002893250000000014	0.0029857400000000145	0.003078179999999986	0.003148220000000007	0.003214064999999988	0.0033227700000000027	0.00401719425	0.0033119429999999977	0.00322037	0.0031496999999999775	0.0030740200000000106	0.0029870150000000095	0.0028984699999999863	0.002788449999999998	0.0026604500000000364	0.0025073149999999544	0.0023197000000000356	0.002115969999999967	0.001893950000000033	0.0016449500000000339	0.0013817150000000056	0.0011405800000000021	0.0008544500000000066	0.0003211300000000028	4.670000000001062e-05
3100000000.0	4.375000000000906e-06	0.000340549999999995	0.000930949999999986	0.0012051699999999776	0.001499919999999988	0.0017862049999999852	0.0020299200000000184	0.0022553000000000156	0.002477199999999957	0.00268257999999999	0.002829650000000017	0.0029568150000000015	0.0030832500000000096	0.0032051000000000163	0.0032735849999999955	0.0033906750000000097	0.003447769999999989	0.003458894499999997	0.0033605714499999996	0.003486694999999998	0.0034927600000000114	0.0033698999999999812	0.0032724450000000127	0.003204659999999998	0.0030927000000000038	0.0029757000000000255	0.0028084250000000033	0.002645820000000021	0.002477795000000005	0.0022771999999999792	0.0020475350000000447	0.0017738500000000212	0.0014951799999999849	0.0012032000000000154	0.0009358199999999761	0.0003422000000000147	3.2250000000011436e-05
3200000000.0	5.334999999995205e-06	0.00036816499999997587	0.0010060000000000069	0.0012705250000000223	0.0016346199999999755	0.0019371299999999536	0.0022176749999999745	0.002453065000000032	0.0026951499999999795	0.002875020000000006	0.0030693800000000104	0.0032104199999999916	0.003328975000000012	0.003448464999999984	0.003553334999999991	0.003679340000000003	0.003787525	0.0036385650000000033	0.0035541675999999998	0.003641314999999999	0.0037514650000000094	0.003703205000000015	0.0035538800000000093	0.0034449099999999955	0.0033303050000000056	0.003226950000000006	0.0030651800000000007	0.002875829999999968	0.0026945500000000178	0.002453234999999998	0.0022179800000000083	0.0019296999999999787	0.0016342200000000195	0.001270725000000028	0.0010062150000000325	0.00036730000000001484	2.850000000004238e-05
3300000000.0	6.565000000013921e-06	0.0003962499999999869	0.0010622450000000172	0.001355900000000021	0.0018061000000000327	0.0021035500000000096	0.002397170000000004	0.002682804999999955	0.002913980000000038	0.0031386999999999943	0.0033134999999999692	0.003464400000000034	0.0036313799999999896	0.0037332650000000134	0.003894059999999977	0.004001274999999999	0.004043099999999994	0.0038473350000000003	0.00376814875	0.003846970000000005	0.004053374999999998	0.003988099999999994	0.0038786700000000007	0.0037333800000000084	0.003610610000000014	0.003481650000000003	0.003311149999999985	0.0031369049999999676	0.0029137750000000073	0.002670425000000032	0.002405500000000005	0.0021009349999999705	0.0018087800000000098	0.0013560400000000028	0.0010612999999999873	0.00040034999999999377	2.565999999998292e-05
3400000000.0	8.38000000003003e-06	0.00043419000000000096	0.0010883499999999602	0.0014945899999999623	0.0020054999999999934	0.002340050000000038	0.0026374999999999593	0.00293110000000002	0.0031827049999999524	0.003408049999999996	0.0036305249999999956	0.003798329999999961	0.003938229999999987	0.0040700599999999865	0.004227310000000012	0.004330830000000008	0.00433444999999999	0.0040486125	0.00410640885	0.004028785	0.004341429999999993	0.004332900000000001	0.004253830000000014	0.004069815000000004	0.003933414999999996	0.0038082000000000393	0.0036247249999999953	0.0034219999999999806	0.0031820249999999772	0.0029230199999999984	0.002644399999999991	0.002312999999999954	0.0020015349999999987	0.0014944100000000016	0.0010879500000000042	0.0004408350000000283	2.4650000000014938e-05
3500000000.0	1.0500000000024379e-05	0.00048226499999998174	0.0011399349999999808	0.0017076400000000103	0.002240775000000028	0.002630200000000027	0.0029618000000000144	0.003256144999999988	0.0035371299999999994	0.0037931999999999966	0.004003420000000035	0.004186004999999993	0.004335105000000006	0.004491345000000008	0.004638210000000004	0.00464502	0.004601729999999998	0.004355935000000005	0.0044907422	0.004372853000000003	0.004592440000000003	0.0046548849999999975	0.004623660000000002	0.004492225000000016	0.004342760000000001	0.004177900000000012	0.004009335000000003	0.003787750000000034	0.003536999999999957	0.0032647699999999724	0.0029564649999999637	0.002640425000000002	0.00223905000000002	0.0017092499999999955	0.0011430500000000343	0.0004832999999999643	2.4520000000027853e-05
3600000000.0	1.3350000000023066e-05	0.0005230850000000342	0.0011998100000000234	0.0019787350000000092	0.0024779999999999802	0.0029894299999999596	0.0033417749999999913	0.0036711700000000014	0.004061264999999981	0.004342824999999995	0.004536094999999962	0.004674899999999982	0.004829319999999998	0.005076250000000004	0.005054239999999988	0.004942895000000003	0.004836364999999995	0.004766914999999997	0.0049983508300000005	0.0048210949999999975	0.004861535	0.0049166350000000025	0.004991090000000004	0.005069109999999988	0.004900900000000014	0.004708174999999981	0.004497600000000046	0.004261699999999979	0.004060420000000009	0.0037192699999999967	0.0033691799999999716	0.002962935	0.002464250000000001	0.001979769999999992	0.001212150000000023	0.0005259499999999973	2.5700000000017376e-05
3700000000.0	1.7470000000019414e-05	0.0005962700000000098	0.0012797999999999976	0.002248099999999975	0.002695900000000029	0.003308270000000002	0.0037586099999999956	0.004125719999999999	0.004510550000000002	0.004803469999999976	0.005093515000000048	0.0053316250000000065	0.005478324999999978	0.005643960000000003	0.005537750000000008	0.005456005	0.005479129999999999	0.005439872499999998	0.00568835481	0.005438150000000003	0.005404389999999995	0.0055211349999999965	0.005535990000000018	0.005651760000000006	0.005478535000000007	0.0053197750000000266	0.005097315000000047	0.004800450000000012	0.004507199999999989	0.004125019999999979	0.003759400000000024	0.0033141500000000157	0.0026947749999999826	0.002246854999999992	0.001279124999999992	0.0005954800000000371	2.869999999999262e-05
3800000000.0	2.430000000003263e-05	0.0007170449999999717	0.0014287499999999786	0.0025241999999999765	0.0029998099999999916	0.003687549999999984	0.004210369999999963	0.004656345000000006	0.005026365000000033	0.005352915000000014	0.0055859199999999665	0.005800394999999958	0.0060347349999999855	0.0060822499999999835	0.00606603	0.006045260000000011	0.006015544999999997	0.006188235	0.00623690045	0.0061643170000000025	0.006065175000000006	0.0060057399999999955	0.00606988	0.0060819749999999895	0.006020670000000006	0.005816149999999964	0.005571235000000008	0.005368114999999951	0.005026419999999976	0.004651799999999984	0.004218564999999952	0.003682249999999998	0.003001900000000002	0.002524200000000032	0.0014264299999999785	0.0007182700000000208	3.435000000001631e-05
3900000000.0	3.4035000000043336e-05	0.0009069400000000227	0.0016423500000000146	0.0028266600000000364	0.0034179999999999766	0.004129800000000017	0.004778669999999985	0.00528307499999997	0.0056771200000000355	0.005962489999999987	0.006165179999999992	0.00640521500000002	0.00660464999999999	0.006639199999999984	0.006619970000000003	0.006694795000000003	0.006771294999999997	0.006886017500000001	0.0069478503	0.006853372000000003	0.00676046000000001	0.0067036349999999995	0.0066401349999999915	0.006639855	0.006585930000000018	0.0064052	0.006166900000000031	0.005971499999999963	0.005677229999999978	0.005273170000000049	0.004777000000000031	0.004129985000000003	0.003421034999999961	0.002825880000000003	0.0016409199999999902	0.0009069199999999777	4.355000000000331e-05
